input1,input2,input3,input4,input5,target
7,5,7,7,1.5,1
54,57,55,27.5,114,36
9,12,10,5,24,6
52.5,55.5,53.5,26.75,111,35
4,11,5,45,12,2
45,4,4,7,1,7
7.5,10.5,8.5,4.25,21,5
36,39,37,18.5,78,24
54,57,55,27.5,114,36
73.5,76.5,74.5,37.25,153,49
30,33,31,15.5,66,20
7,5,5,4,2,8
70.5,73.5,71.5,35.75,147,47
33,36,34,17,72,22
9,12,10,5,24,6
43.5,46.5,44.5,22.25,93,29
42,45,43,21.5,90,28
4.5,7.5,5.5,2.75,15,3
58.5,61.5,59.5,29.75,123,39
69,72,70,35,144,46
72,75,73,36.5,150,48
27,30,28,14,60,18
52.5,55.5,53.5,26.75,111,35
67.5,70.5,68.5,34.25,141,45
37.5,40.5,38.5,19.25,81,25
58.5,61.5,59.5,29.75,123,39
45,48,46,23,96,30
70.5,73.5,71.5,35.75,147,47
33,36,34,17,72,22
67.5,70.5,68.5,34.25,141,45
69,72,70,35,144,46
64.5,67.5,65.5,32.75,135,43
57,60,58,29,120,38
18,21,19,9.5,42,12
37.5,40.5,38.5,19.25,81,25
30,33,31,15.5,66,20
60,63,61,30.5,126,40
67.5,70.5,68.5,34.25,141,45
61.5,64.5,62.5,31.25,129,41
5,12,4,78,4,2
7.5,10.5,8.5,4.25,21,5
19.5,22.5,20.5,10.25,45,13
25.5,28.5,26.5,13.25,57,17
67.5,70.5,68.5,34.25,141,45
39,42,40,20,84,26
34.5,37.5,35.5,17.75,75,23
45,4,7,10,15,16
52.5,55.5,53.5,26.75,111,35
25,5,4,12,45,16
57,60,58,29,120,38
12,15,13,6.5,30,8
42,45,43,21.5,90,28
67.5,70.5,68.5,34.25,141,45
40.5,43.5,41.5,20.75,87,27
55.5,58.5,56.5,28.25,117,37
18,21,19,9.5,42,12
51,54,52,26,108,34
42,45,43,21.5,90,28
12,15,13,6.5,30,8
64.5,67.5,65.5,32.75,135,43
58.5,61.5,59.5,29.75,123,39
72,75,73,36.5,150,48
60,63,61,30.5,126,40
33,36,34,17,72,22
42,45,43,21.5,90,28
48,51,49,24.5,102,32
72,75,73,36.5,150,48
10.5,13.5,11.5,5.75,27,7
46.5,49.5,47.5,23.75,99,31
70.5,73.5,71.5,35.75,147,47
52.5,55.5,53.5,26.75,111,35
19.5,22.5,20.5,10.25,45,13
22.5,25.5,23.5,11.75,51,15
45,48,46,23,96,30
28.5,31.5,29.5,14.75,63,19
34.5,37.5,35.5,17.75,75,23
7.5,10.5,8.5,4.25,21,5
16.5,19.5,17.5,8.75,39,11
31.5,34.5,32.5,16.25,69,21
13.5,16.5,14.5,7.25,33,9
7.5,10.5,8.5,4.25,21,5
57,60,58,29,120,38
63,66,64,32,132,42
73.5,76.5,74.5,37.25,153,49
6,9,7,3.5,18,4
7.5,10.5,8.5,4.25,21,5
39,42,40,20,84,26
